coin_id,year,program,denomination,mint_mark,country,condition,cost,personal_photos,reference_imgs,fully_missing,obverse_url,reverse_url
ec2a2127-a7a3-4d4d-b322-9f206b0fe4cb,1865,,,,US,Very Choice Uncirculated,$350.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
1c8e7e49-e355-49b6-a922-a3d96b1ad113,1866,,,,US,VF/EF,$270.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
91ddbe5c-8b8f-4747-af1f-cba27aecf34b,1866,Three-Cent Nickel,Nickel,P,USA,Fine,29.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
4b8a2d7e-29d9-4616-853a-0cd69e8acec0,1867,,,,US,Extremely Fine,$335.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
e092deda-7caa-4017-8b73-b99afb30fc5b,1868,,,,US,Very Fine,$210.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
30a88fa5-4791-4d49-89bf-d40d45bc5a3e,1869,,,,US,Extremely Fine,$695.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
2e822906-c26a-4dd3-8fda-d61d10989660,1870,,,,US,Extremely Fine,$775.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
86f24f51-1fec-4171-8292-25028cc2f274,1870,,,,US,Fine,$338.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
c7dc1055-a88d-48c9-baa7-30396f89879e,1870,,Nickel,,US,Fine,$63.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
2b46d48b-ae23-4d7f-81ed-b8e89c460955,1871,,Nickel,,US,Extremely Fine,$105.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
85f78bda-54aa-472c-a2d2-38316a15e9ec,1871,,Nickel,S,US,Extra Fine,$67.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
fd921ba5-a126-4394-87f3-942ab6df3cae,1871,,,,US,Good,$175.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
06a59662-67b3-4882-9fef-2ad8e6fbf439,1872,,Nickel,S,US,Extremely Fine,$129.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
92b05314-f3e3-469d-b058-bbf4a8a5433b,1872,,,,US,Very Good,$350.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
a1b43521-f948-4168-808a-6829a06427ce,1872,,Nickel,,US,Very Good,$58.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
576da6a9-dc09-4896-8bdf-ee66f690a3e5,1874,,,,US,Extremely Fine,$210.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
67024e1e-9f50-4f8d-9547-3a7b40300297,1874,Indian Head Pattern Dollar,Dollar,,US,MS-63,$925.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
8e1ee2d0-4c16-4763-9b8f-c728c2216855,1877,,,,US,Good,$948.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
9eb832ea-ac12-4742-9cc0-bb0fbb45fabe,1878,,,,US,About Uncirculated,$475.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
e60c1194-7477-4037-8929-f5a778580f53,1879,,,,US,Very Fine,$80.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
3cd50285-6219-4745-8550-8c71aea23682,1879,Schoolgirl Dollar,$1,,USA,Ungraded,59.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
641893e0-fbc0-40d8-a290-024aa4ec2726,1884,,,,US,Very Fine,$36.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
3396a17b-ded9-4c84-ad61-1b6b0dd00d5f,1885,,,,US,Extremely Fine,$125.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
8e5737da-a9a8-46cb-a14a-3387122def34,1886,,,,US,Fine,$76.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
44d81853-f14f-472d-bfb1-f6682e5a98a1,1887,,,,US,Extremely Fine,$49.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
dc8f1ef4-2109-44ef-a611-daa001bc3e5b,1888,,,,US,Extremely Fine,$54.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/kaggle/mi...,
79183f43-2e88-430d-bf52-144b56257e8a,1889,,,,US,Extremely Fine,$36.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
7dcba4e6-d9d5-4698-a630-9c0adf868090,1890,,,,US,Average Circulated,$99.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/kaggle/mi...,
49c43ef7-7f68-4929-a866-a7f1dbd51af9,1892,Barber,Dime,,US,Good,$42.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
b9d3f472-b037-48f8-81ec-14c2459d9cbe,1892,Barber Silver Quarters,25 Cents,,US,Ungraded,$31.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
e9ac4921-7bb5-430d-bff1-dce488485d1b,1892,Barber Silver Quarters,25 Cents,S,US,Good,$110.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
68b70074-eb35-4d94-b008-7b4e4d1d4faf,1893,,Indian Head Cent,,US,Good,$0.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
b80b5d47-6147-445e-83a8-c40c2e096903,1893,,,,US,Average Circulated,,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
ebf6e30c-4551-4859-883a-d4af89972a4d,1893,Barber Silver Quarters,25 Cents,O,US,AC,$34.75,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
977e9860-69e8-4068-9cde-d98d991c1837,1894,,,,US,Very Fine,$55.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
211ae598-3379-44f2-b0e8-5ee2e7f5b15f,1894,Barber,Barber Dime,,US,AU-50,$395.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
ce3ef0ae-b7c6-4a90-bc22-ed3854342384,1894,Indian Head Cents,1 CENT,P,USA,G-VG,19.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
c28a6782-8c53-412c-9476-e8eb680c8b2a,1895,Barber Dimes,Barber Silver Dimes,S,US,About Fine,$230.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
92cd4fef-1a29-4368-a37b-ab7f4704af6a,1895,Barber Series,Dime,S,US,About Fine,$230.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
41764e2e-1c06-4970-91bb-ba8a84cbf2da,1895,Barber Silver Quarters,25 Cents,S,US,AC,$58.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
8906b37f-86b5-448e-ac4c-ec4b2a145eb3,1896,,Indian Head Cent,,US,Average Circulated,$0.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
df94e03e-2593-4d7c-bcaf-115996b18fd2,1896,Barber Silver Quarters,25 Cents,S,US,G-6,$1750.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
e113ea83-813a-48f6-a9ac-80c6f2f5bdb1,1897,Barber Dime,Barber Dime,P,US,Proof-64,1150.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
4fe32fe3-4d44-4663-8b9b-328f719e964e,1897,Barber Silver Quarters,25 Cents,,US,Ungraded,$60.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
5d02cca5-17ad-44dc-9aae-5722f86bfc3a,1897,Barber Silver Quarters,25 Cents,S,US,Good,$220.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
a4fbcd17-c060-4f92-8eef-4f0421ff7567,1897,Barber Silver Quarters,25 Cents,D,US,AC,$76.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
bde99794-e59a-41c6-b430-d987464f0c62,1898,Barber Dimes,Barber Silver Dimes,P,US,Good,$24.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
6f6083a5-2db6-4421-887d-3e37d806f627,1898,Barber Series,Dime,Pending,US,Good,$24.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
4137c801-5c29-417e-b506-a507ac1d1216,1898,Barber Silver Quarters,25 Cents,S,US,AC,$35.25,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
6f2f2dcf-7740-4ef7-974a-7266a3fbd3d8,1898,Barber Silver Quarters,25 Cents,,US,Very Good,$40.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
847e851d-c967-4f97-9d5f-aeb57ab9ba86,1898,Barber Silver Quarters,25 Cents,O,US,Good,$48.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
c7c7096a-eb14-4f64-abdb-c8854de0d9a8,1899,Barber Dimes,Barber Silver Dimes,P,US,Good,$24.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
fd69a1fc-d49f-4a17-a73e-b8c6db032290,1899,Barber Series,Dime,Pending,US,Good,$24.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
8f54da9d-9370-4a5e-a4f8-8b388f5a09fb,1899,Barber Silver Quarters,25 Cents,S,US,AC,$52.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
f92baba8-e0e1-4dc8-b566-eda9c77240db,1899,Barber Silver Quarters,25 Cents,,US,Average Circulated,$44.74,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
d67189aa-a629-4b5b-a3ec-199d9ab4f705,1900,Barber Dimes,Barber Silver Dimes,P,US,Good,$23.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
8f12aa1c-c827-4ebb-8fbe-50f8627ec3b6,1900,Barber Series,Dime,Pending,US,Good,$23.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
1e9f312c-9579-42a7-93cd-bc44dc3d4ae5,1900,Barber Silver Quarters,25 Cents,,US,Good,$31.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
7fb235fc-f12c-4ae4-9eb7-cf0463522972,1900,Barber Silver Quarters,25 Cents,S,US,Fine,$80.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
ed4aded3-8fff-4b4e-a484-488ef7c6122b,1900,Barber Silver Quarters,25 Cents,O,US,AC,$45.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
4af893e6-e25a-4f52-9d60-97745fde37c5,1901,Barber Dimes,Barber Silver Dimes,P,US,Good,$23.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
2bc83e64-87e7-43bf-8cfd-a8b70448d1e7,1901,Barber Series,Dime,Pending,US,Good,$23.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
6f031611-d6b1-40b6-a929-5d3a7e4dddbd,1901,Barber Silver Quarters,25 Cents,O,US,Good,$145.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
d4905817-9fc5-4673-97bf-85ea3e2d3b29,1902,Barber Dimes,Barber Silver Dimes,P,US,Good,$23.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
436961bf-6fc0-48fa-9ae5-699428cec050,1902,Barber Quarters,25 Cents,,US,Fine,$72.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
f3411cae-a4f7-4e9c-97ae-df04ffdef659,1902,Barber Quarters,25 Cents,S,US,Ungraded,$37.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
9b0a2950-e534-45f2-94df-dd6a7e01a428,1902,Barber Series,Dime,Pending,US,Good,$23.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
a3e05985-feb9-4d99-899d-8f8aad355b30,1902,Barber Silver Quarters,25 Cents,O,US,AC,$35.25,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
bb4d74f8-f3d3-43f7-a5ac-706caaf7615e,1903,Barber Dimes,Barber Silver Dimes,O,US,Good,$26.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
c1de1b69-92fa-4f62-acb2-eed771751b03,1903,Barber Dimes,Barber Silver Dimes,P,US,Very Good,$28.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
4308c6be-27b1-4c6d-9f1d-851518b05617,1903,Barber Series,Dime,O,US,Good,$26.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
f7c00d38-b1e7-4f04-84a5-a5e9e9d47f4c,1903,Barber Series,Dime,Pending,US,Very Good,$28.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
ae4185bb-0bd8-4a24-93d2-09c5528f6c11,1904,Barber Dimes,Barber Silver Dimes,P,US,Average Circulated,$22.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
87565c01-8bea-4213-b6f7-6967ca8a4542,1904,Barber Series,Dime,Pending,US,Average Circulated,$22.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
4cdfc993-da20-44a0-a0c5-1f8d88100913,1904,Barber Silver Quarters,25 Cents,O,US,About Circulated,$72.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
5c8d8ba5-cf98-44a2-b9a4-a2b723a08d15,1905,,,,US,Good,$7.95,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_genera...,
