Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse Image,Has Reverse Image,AI_Audited_Status
coin,Lincoln Shield Cents,One Cent,2026,S,Liberty Bell 250 Privy Mark Proof,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2026,W,Liberty Bell 250 Privy Mark,Yes,Yes,Yes,Yes
coin,Liberty Head (V) Nickels,Five Cents,1908,P,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,1909,P,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,1910,P,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,1911,P,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,1912,P,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,1912,D,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,1912,S,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,2024,P,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,2024,D,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,2024,S,,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,2026,P,Liberty Bell 250 Privy Mark,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,2026,D,Liberty Bell 250 Privy Mark,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,2026,S,Liberty Bell 250 Privy Mark,Yes,No,No,Yes
coin,Liberty Head (V) Nickels,Five Cents,2026,W,Liberty Bell 250 Privy Mark,Yes,No,No,Yes
coin,Lincoln Wheat Pennies,One Cent,1934,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1934,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1934,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1935,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1935,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1935,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1936,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1936,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1936,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1936,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1937,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1937,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1937,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1938,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1938,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1938,D,D over S,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1938,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1939,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1939,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1939,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1939,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1940,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1940,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1940,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1941,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1941,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1941,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1941,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1942,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1942,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1942,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1942,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1943,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1943,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1944,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1944,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1944,D,D over S,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1944,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1944,S,S over D,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1945,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1945,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1945,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1945,S,Micro S,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1946,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1946,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1946,D,D over Horizontal D,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1946,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1946,S,S over D,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1947,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1947,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1947,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1948,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1948,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1948,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1949,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1949,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1949,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1949,S,S over S,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1950,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1950,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1950,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1950,S,S over D,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1951,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1951,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1951,D,D over S,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1951,S,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1952,P,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1952,D,,Yes,Yes,Yes,Yes
coin,Lincoln Wheat Pennies,One Cent,1952,D,D over D,Yes,Yes,Yes,Yes
