Count,Year,Mint,Denomination,Program/Series,Theme/Subject,Resolved_Program,Resolved_Subject,Best_Key_Tried
3,1978,D,1 Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1978_D_dollar
3,1978,,Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1978_dollar
3,1979,S,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony,dollar,,1979_S_dollar
3,1981,S,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1981_S_lincoln-cent
3,1995,S,Quarter,Washington Silver Quarter,,quarter,,1995_S_quarter
3,1996,S,Quarter,Washington Silver Quarter,,quarter,,1996_S_quarter
3,1998,S,Quarter,Washington Silver Quarter,,quarter,,1998_S_quarter
3,1999,D,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1999_D_lincoln-cent
3,2002,D,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,2002_D_lincoln-cent
3,2004,D,Penny,Lincoln Head Penny,Lincoln Head Penny,lincoln-cent,,2004_D_lincoln-cent
3,2006,W,Dollar,American Eagle,,american-eagle-silver,,2006_W_american-eagle-silver
3,2006,D,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,2006_D_lincoln-cent
3,2007,W,Dollar,American Eagle,,american-eagle-silver,,2007_W_american-eagle-silver
3,2008,W,Dollar,American Eagle,Burnished,american-eagle-silver,,2008_W_american-eagle-silver
3,2011,W,Dollar,American Eagle,,american-eagle-silver,,2011_W_american-eagle-silver
3,2011,D,Penny,Lincoln Head Penny,Lincoln Head Penny,lincoln-cent,,2011_D_lincoln-cent
3,2012,W,Dollar,American Eagle,,american-eagle-silver,,2012_W_american-eagle-silver
3,2013,W,Dollar,American Eagle,Burnished,american-eagle-silver,,2013_W_american-eagle-silver
3,2015,S,1,Presidential Dollars,john F. Kennedy,presidential-dollars,,2015_S_presidential-dollars
3,2015,W,Dollar,American Eagle,,american-eagle-silver,,2015_W_american-eagle-silver
3,2016,,Dollar,American Eagle,,american-eagle-silver,,2016_american-eagle-silver
3,2017,,Dollar,American Eagle,,american-eagle-silver,,2017_american-eagle-silver
3,2017,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,2017_S_kennedy-half-dollar
3,2019,W,1,Destination silver eagle signed by Tom Cleveland,,american-eagle-silver,,2019_W_american-eagle-silver
3,2021,S,Dime,Roosevelt Dimes,99.9% silver,dime,,2021_S_dime
3,2021,S,Jefferson Nickel,,,jefferson-nickel,,2021_S_jefferson-nickel
3,2022,D,Quarter,US Women's Quarters,Sally Ride,quarter,,2022_D_quarter
3,2022,P,Quarter,US Women's Quarters,Wilma Mankiller,quarter,,2022_P_quarter
3,2023,,Dollar,Peace Dollar,,peace-dollar,,2023_peace-dollar
3,2023,D,Quarter,US Women's Quarters,Bessie Coleman,quarter,,2023_D_quarter
3,2023,P,Quarter,US Women's Quarters,Edith Kanaka'ole,quarter,,2023_P_quarter
3,2024,,American Silver Eagle Dollar,American Silver Eagle,,american-eagle-silver,,2024_american-eagle-silver
3,2024,W,Dollar,American Silver Eagle,Silver Eagle,american-eagle-silver,,2024_W_american-eagle-silver
3,2024,D,Dollar,U.S. Innovation Dollar,Saturn V Rocket,dollar,,2024_D_dollar
3,2024,P,Kennedy Half Dollar,Kennedy Half Dollar,,kennedy-half-dollar,,2024_P_kennedy-half-dollar
