Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse,Has Reverse,Grok Verified
coin,Quarter,Half Dollar,,,"½ Dollar ""Kennedy Half Dollar"" (Bicentennial)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (George Washington),Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Morgan Dollar""",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""American Silver Eagle"" (Bullion Coin)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (John Adams),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Thomas Jefferson),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (James Madison),Yes,No,No,No
coin,Dollar,Two Cents,,,"2 Cents ""Union Shield""",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Indian Head Cent""",Yes,No,No,No
coin,Dollar,Three Cents,,,"3 Cents ""Trime"" (type 3 - one line bordering star)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Franklin Half Dollar""",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Lincoln - Wheat Ears Reverse - Steel""",Yes,No,No,No
coin,Quarter,One Dollar,,,"1 Dollar ""Eisenhower Dollar"" (Bicentennial)",Yes,No,No,No
coin,Quarter,One Dollar,,,"1 Dollar ""Susan B. Anthony Dollar""",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Seated Liberty Quarter"" (with motto, without date arrows)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Liberty Nickel"" (with ""CENTS"")",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Columbian Exposition),Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (State of Illinois Anniversary),Yes,No,No,No
