original,new_file,attribution
2025-roosevelt-dime-uncirculated-obverse-philadelphia (1).jpg,attributed_2025-roosevelt-dime-uncirculated-obverse-philadelphia (1).jpg,United States Mint image
SemiQ-Half-Dollar-Obverse-Unc-P (1).jpg,attributed_SemiQ-Half-Dollar-Obverse-Unc-P (1).jpg,United States Mint image
SemiQ-Penny-Reverse-Unc.jpg,attributed_SemiQ-Penny-Reverse-Unc.jpg,United States Mint image
American-Eagle-Silver-Bullion-Obverse (1).jpg,attributed_American-Eagle-Silver-Bullion-Obverse (1).jpg,United States Mint image
Dime-Proof-Obverse (1).jpg,attributed_Dime-Proof-Obverse (1).jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-obverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-obverse (1).jpg,United States Mint image
SemiQ-Declaration-Obverse-Unc-D.jpg,attributed_SemiQ-Declaration-Obverse-Unc-D.jpg,United States Mint image
2025-american-women-quarters-coin-stacey-park-milbern-proof-reverse (1).jpg,attributed_2025-american-women-quarters-coin-stacey-park-milbern-proof-reverse (1).jpg,United States Mint image
2025-roosevelt-dime-uncirculated-reverse.jpg,attributed_2025-roosevelt-dime-uncirculated-reverse.jpg,United States Mint image
2025-american-eagle-gold-one-ounce-proof-coin-obverse (1).jpg,attributed_2025-american-eagle-gold-one-ounce-proof-coin-obverse (1).jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-silver-uncirculated-obverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-silver-uncirculated-obverse (1).jpg,United States Mint image
2025-american-women-quarters-coin-stacey-park-milbern-uncirculated-reverse (1).jpg,attributed_2025-american-women-quarters-coin-stacey-park-milbern-uncirculated-reverse (1).jpg,United States Mint image
2025-american-eagle-silver-proof-usmc-privy-reverse.jpg,attributed_2025-american-eagle-silver-proof-usmc-privy-reverse.jpg,United States Mint image
SemiQ-Mayflower-Obverse-Unc-D.jpg,attributed_SemiQ-Mayflower-Obverse-Unc-D.jpg,United States Mint image
2024-american-eagle-palladium-one-ounce-proof-coin-obverse.jpg,attributed_2024-american-eagle-palladium-one-ounce-proof-coin-obverse.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-gold-proof-obverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-gold-proof-obverse (1).jpg,United States Mint image
2025-american-women-quarters-coin-althea-gibson-proof-reverse (1).jpg,attributed_2025-american-women-quarters-coin-althea-gibson-proof-reverse (1).jpg,United States Mint image
